demo run with success.

log:

#!/bin/bash
source /home/amd_clmc/team/workspace/devel/setup.bash
cd /home/amd_clmc/team/workspace/devel/lib/amd_clmc_dmp/
chmod +x amd_clmc_dmp_dc_loa_so_sb_single_demo_demo
./amd_clmc_dmp_dc_loa_so_sb_single_demo_demo /home/amd_clmc/team/workspace/devel


Computing BASELINE Forcing Term (w/o Obstacle) ...
Done
Building Feature Matrix from Demo Setting #1/1 ...
Done
Performing Moore-Penrose Inverse ...
Done
Logging Learning Obstacle Avoidance Data (w/o ILC)...
Done
0.00000 0.67118 -0.19380 0.13794
0.00238 0.67118 -0.19380 0.13794
0.00476 0.67118 -0.19380 0.13794
0.00714 0.67118 -0.19380 0.13794
0.00952 0.67118 -0.19380 0.13794
0.01190 0.67118 -0.19380 0.13794
0.01429 0.67118 -0.19380 0.13794
0.01667 0.67118 -0.19380 0.13794
0.01905 0.67118 -0.19380 0.13794
0.02143 0.67118 -0.19380 0.13794
0.02381 0.67118 -0.19380 0.13794
0.02619 0.67118 -0.19380 0.13794
0.02857 0.67118 -0.19380 0.13794
0.03095 0.67118 -0.19380 0.13794
0.03333 0.67118 -0.19380 0.13794
0.03571 0.67118 -0.19380 0.13794
0.03810 0.67118 -0.19380 0.13794
0.04048 0.67118 -0.19380 0.13795
0.04286 0.67118 -0.19380 0.13795
0.04524 0.67118 -0.19380 0.13795
0.04762 0.67118 -0.19380 0.13795
0.05000 0.67118 -0.19380 0.13795
0.05238 0.67117 -0.19380 0.13795
0.05476 0.67117 -0.19380 0.13795
0.05714 0.67117 -0.19380 0.13795
0.05952 0.67117 -0.19380 0.13795
0.06190 0.67117 -0.19380 0.13796
0.06429 0.67117 -0.19380 0.13796
0.06667 0.67117 -0.19380 0.13796
0.06905 0.67117 -0.19380 0.13796
0.07143 0.67117 -0.19380 0.13796
0.07381 0.67116 -0.19380 0.13796
0.07619 0.67116 -0.19380 0.13797
0.07857 0.67116 -0.19380 0.13797
0.08095 0.67116 -0.19380 0.13797
0.08333 0.67116 -0.19380 0.13797
0.08571 0.67116 -0.19380 0.13798
0.08810 0.67115 -0.19380 0.13798
0.09048 0.67115 -0.19380 0.13798
0.09286 0.67115 -0.19380 0.13799
0.09524 0.67115 -0.19380 0.13799
0.09762 0.67114 -0.19380 0.13799
0.10000 0.67114 -0.19380 0.13800
